Postnummer,Postort,Kontor,Kontorfrk,Country
11246,STOCKHOLM,STOCKHOLM,STO,Sweden
11247,STOCKHOLM,STOCKHOLM,STO,Sweden
11248,STOCKHOLM,STOCKHOLM,STO,Sweden
11249,STOCKHOLM,STOCKHOLM,STO,Sweden
11250,STOCKHOLM,STOCKHOLM,STO,Sweden
11251,STOCKHOLM,STOCKHOLM,STO,Sweden
11252,STOCKHOLM,STOCKHOLM,STO,Sweden
11253,STOCKHOLM,STOCKHOLM,STO,Sweden
11254,STOCKHOLM,STOCKHOLM,STO,Sweden
11255,STOCKHOLM,STOCKHOLM,STO,Sweden
11256,STOCKHOLM,STOCKHOLM,STO,Sweden
11257,STOCKHOLM,STOCKHOLM,STO,Sweden
11258,STOCKHOLM,STOCKHOLM,STO,Sweden
11259,STOCKHOLM,STOCKHOLM,STO,Sweden
11260,STOCKHOLM,STOCKHOLM,STO,Sweden
11261,STOCKHOLM,STOCKHOLM,STO,Sweden
11262,STOCKHOLM,STOCKHOLM,STO,Sweden
11263,STOCKHOLM,STOCKHOLM,STO,Sweden
11264,STOCKHOLM,STOCKHOLM,STO,Sweden
11265,STOCKHOLM,STOCKHOLM,STO,Sweden
11266,STOCKHOLM,STOCKHOLM,STO,Sweden
11267,STOCKHOLM,STOCKHOLM,STO,Sweden
11269,STOCKHOLM,STOCKHOLM,STO,Sweden
11320,STOCKHOLM,STOCKHOLM,STO,Sweden
11321,STOCKHOLM,STOCKHOLM,STO,Sweden
11322,STOCKHOLM,STOCKHOLM,STO,Sweden
11323,STOCKHOLM,STOCKHOLM,STO,Sweden
11324,STOCKHOLM,STOCKHOLM,STO,Sweden
11325,STOCKHOLM,STOCKHOLM,STO,Sweden
11326,STOCKHOLM,STOCKHOLM,STO,Sweden
11327,STOCKHOLM,STOCKHOLM,STO,Sweden
11328,STOCKHOLM,STOCKHOLM,STO,Sweden
11329,STOCKHOLM,STOCKHOLM,STO,Sweden
11330,STOCKHOLM,STOCKHOLM,STO,Sweden
11331,STOCKHOLM,STOCKHOLM,STO,Sweden
11332,STOCKHOLM,STOCKHOLM,STO,Sweden
11333,STOCKHOLM,STOCKHOLM,STO,Sweden
11334,STOCKHOLM,STOCKHOLM,STO,Sweden
11335,STOCKHOLM,STOCKHOLM,STO,Sweden
11336,STOCKHOLM,STOCKHOLM,STO,Sweden
11337,STOCKHOLM,STOCKHOLM,STO,Sweden
11338,STOCKHOLM,STOCKHOLM,STO,Sweden
11339,STOCKHOLM,STOCKHOLM,STO,Sweden
11340,STOCKHOLM,STOCKHOLM,STO,Sweden
11341,STOCKHOLM,STOCKHOLM,STO,Sweden
11342,STOCKHOLM,STOCKHOLM,STO,Sweden
11343,STOCKHOLM,STOCKHOLM,STO,Sweden
11344,STOCKHOLM,STOCKHOLM,STO,Sweden
11345,STOCKHOLM,STOCKHOLM,STO,Sweden
11346,STOCKHOLM,STOCKHOLM,STO,Sweden
11347,STOCKHOLM,STOCKHOLM,STO,Sweden
11348,STOCKHOLM,STOCKHOLM,STO,Sweden
11349,STOCKHOLM,STOCKHOLM,STO,Sweden
11350,STOCKHOLM,STOCKHOLM,STO,Sweden
11351,STOCKHOLM,STOCKHOLM,STO,Sweden
11352,STOCKHOLM,STOCKHOLM,STO,Sweden
11353,STOCKHOLM,STOCKHOLM,STO,Sweden
11354,STOCKHOLM,STOCKHOLM,STO,Sweden
11355,STOCKHOLM,STOCKHOLM,STO,Sweden
11356,STOCKHOLM,STOCKHOLM,STO,Sweden
11357,STOCKHOLM,STOCKHOLM,STO,Sweden
11358,STOCKHOLM,STOCKHOLM,STO,Sweden
11359,STOCKHOLM,STOCKHOLM,STO,Sweden
11360,STOCKHOLM,STOCKHOLM,STO,Sweden
11361,STOCKHOLM,STOCKHOLM,STO,Sweden
11362,STOCKHOLM,STOCKHOLM,STO,Sweden
11363,STOCKHOLM,STOCKHOLM,STO,Sweden
11364,STOCKHOLM,STOCKHOLM,STO,Sweden
11365,STOCKHOLM,STOCKHOLM,STO,Sweden
11366,STOCKHOLM,STOCKHOLM,STO,Sweden
11367,STOCKHOLM,STOCKHOLM,STO,Sweden
11368,STOCKHOLM,STOCKHOLM,STO,Sweden
11415,STOCKHOLM,STOCKHOLM,STO,Sweden
11416,STOCKHOLM,STOCKHOLM,STO,Sweden
11417,STOCKHOLM,STOCKHOLM,STO,Sweden
11418,STOCKHOLM,STOCKHOLM,STO,Sweden
11419,STOCKHOLM,STOCKHOLM,STO,Sweden
11420,STOCKHOLM,STOCKHOLM,STO,Sweden
11421,STOCKHOLM,STOCKHOLM,STO,Sweden
11422,STOCKHOLM,STOCKHOLM,STO,Sweden
11423,STOCKHOLM,STOCKHOLM,STO,Sweden
11424,STOCKHOLM,STOCKHOLM,STO,Sweden
11425,STOCKHOLM,STOCKHOLM,STO,Sweden
11426,STOCKHOLM,STOCKHOLM,STO,Sweden
11427,STOCKHOLM,STOCKHOLM,STO,Sweden
11428,STOCKHOLM,STOCKHOLM,STO,Sweden
11429,STOCKHOLM,STOCKHOLM,STO,Sweden
11430,STOCKHOLM,STOCKHOLM,STO,Sweden
11431,STOCKHOLM,STOCKHOLM,STO,Sweden
11432,STOCKHOLM,STOCKHOLM,STO,Sweden
11433,STOCKHOLM,STOCKHOLM,STO,Sweden
11434,STOCKHOLM,STOCKHOLM,STO,Sweden
11435,STOCKHOLM,STOCKHOLM,STO,Sweden
11436,STOCKHOLM,STOCKHOLM,STO,Sweden
11437,STOCKHOLM,STOCKHOLM,STO,Sweden
11438,STOCKHOLM,STOCKHOLM,STO,Sweden
11439,STOCKHOLM,STOCKHOLM,STO,Sweden
11440,STOCKHOLM,STOCKHOLM,STO,Sweden
11441,STOCKHOLM,STOCKHOLM,STO,Sweden
11442,STOCKHOLM,STOCKHOLM,STO,Sweden
11443,STOCKHOLM,STOCKHOLM,STO,Sweden
11444,STOCKHOLM,STOCKHOLM,STO,Sweden
11445,STOCKHOLM,STOCKHOLM,STO,Sweden
11446,STOCKHOLM,STOCKHOLM,STO,Sweden
11447,STOCKHOLM,STOCKHOLM,STO,Sweden
11448,STOCKHOLM,STOCKHOLM,STO,Sweden
11449,STOCKHOLM,STOCKHOLM,STO,Sweden
11450,STOCKHOLM,STOCKHOLM,STO,Sweden
11451,STOCKHOLM,STOCKHOLM,STO,Sweden
11452,STOCKHOLM,STOCKHOLM,STO,Sweden
11453,STOCKHOLM,STOCKHOLM,STO,Sweden
11454,STOCKHOLM,STOCKHOLM,STO,Sweden
11455,STOCKHOLM,STOCKHOLM,STO,Sweden
11456,STOCKHOLM,STOCKHOLM,STO,Sweden
11457,STOCKHOLM,STOCKHOLM,STO,Sweden
11458,STOCKHOLM,STOCKHOLM,STO,Sweden
11459,STOCKHOLM,STOCKHOLM,STO,Sweden
11460,STOCKHOLM,STOCKHOLM,STO,Sweden
11520,STOCKHOLM,STOCKHOLM,STO,Sweden
11521,STOCKHOLM,STOCKHOLM,STO,Sweden
11522,STOCKHOLM,STOCKHOLM,STO,Sweden
11523,STOCKHOLM,STOCKHOLM,STO,Sweden
11524,STOCKHOLM,STOCKHOLM,STO,Sweden
11525,STOCKHOLM,STOCKHOLM,STO,Sweden
11526,STOCKHOLM,STOCKHOLM,STO,Sweden
11527,STOCKHOLM,STOCKHOLM,STO,Sweden
11528,STOCKHOLM,STOCKHOLM,STO,Sweden
11529,STOCKHOLM,STOCKHOLM,STO,Sweden
11530,STOCKHOLM,STOCKHOLM,STO,Sweden
11531,STOCKHOLM,STOCKHOLM,STO,Sweden
11532,STOCKHOLM,STOCKHOLM,STO,Sweden
11533,STOCKHOLM,STOCKHOLM,STO,Sweden
11534,STOCKHOLM,STOCKHOLM,STO,Sweden
11535,STOCKHOLM,STOCKHOLM,STO,Sweden
11536,STOCKHOLM,STOCKHOLM,STO,Sweden
11537,STOCKHOLM,STOCKHOLM,STO,Sweden
11538,STOCKHOLM,STOCKHOLM,STO,Sweden
11539,STOCKHOLM,STOCKHOLM,STO,Sweden
11540,STOCKHOLM,STOCKHOLM,STO,Sweden
11541,STOCKHOLM,STOCKHOLM,STO,Sweden
11542,STOCKHOLM,STOCKHOLM,STO,Sweden
11543,STOCKHOLM,STOCKHOLM,STO,Sweden
11544,STOCKHOLM,STOCKHOLM,STO,Sweden
11545,STOCKHOLM,STOCKHOLM,STO,Sweden
11546,STOCKHOLM,STOCKHOLM,STO,Sweden
11547,STOCKHOLM,STOCKHOLM,STO,Sweden
11548,STOCKHOLM,STOCKHOLM,STO,Sweden
11549,STOCKHOLM,STOCKHOLM,STO,Sweden
11550,STOCKHOLM,STOCKHOLM,STO,Sweden
11551,STOCKHOLM,STOCKHOLM,STO,Sweden
11553,STOCKHOLM,STOCKHOLM,STO,Sweden
11556,STOCKHOLM,STOCKHOLM,STO,Sweden
11557,STOCKHOLM,STOCKHOLM,STO,Sweden
11558,STOCKHOLM,STOCKHOLM,STO,Sweden
11559,STOCKHOLM,STOCKHOLM,STO,Sweden
11560,STOCKHOLM,STOCKHOLM,STO,Sweden
11620,STOCKHOLM,STOCKHOLM,STO,Sweden
11621,STOCKHOLM,STOCKHOLM,STO,Sweden
11622,STOCKHOLM,STOCKHOLM,STO,Sweden
11623,STOCKHOLM,STOCKHOLM,STO,Sweden
11624,STOCKHOLM,STOCKHOLM,STO,Sweden
11625,STOCKHOLM,STOCKHOLM,STO,Sweden
11628,STOCKHOLM,STOCKHOLM,STO,Sweden
11629,STOCKHOLM,STOCKHOLM,STO,Sweden
11630,STOCKHOLM,STOCKHOLM,STO,Sweden
11631,STOCKHOLM,STOCKHOLM,STO,Sweden
11632,STOCKHOLM,STOCKHOLM,STO,Sweden
11633,STOCKHOLM,STOCKHOLM,STO,Sweden
11634,STOCKHOLM,STOCKHOLM,STO,Sweden
11635,STOCKHOLM,STOCKHOLM,STO,Sweden
11636,STOCKHOLM,STOCKHOLM,STO,Sweden
11637,STOCKHOLM,STOCKHOLM,STO,Sweden
11638,STOCKHOLM,STOCKHOLM,STO,Sweden
11639,STOCKHOLM,STOCKHOLM,STO,Sweden
11640,STOCKHOLM,STOCKHOLM,STO,Sweden
11641,STOCKHOLM,STOCKHOLM,STO,Sweden
11642,STOCKHOLM,STOCKHOLM,STO,Sweden
11643,STOCKHOLM,STOCKHOLM,STO,Sweden
11644,STOCKHOLM,STOCKHOLM,STO,Sweden
11645,STOCKHOLM,STOCKHOLM,STO,Sweden
11646,STOCKHOLM,STOCKHOLM,STO,Sweden
11647,STOCKHOLM,STOCKHOLM,STO,Sweden
11648,STOCKHOLM,STOCKHOLM,STO,Sweden
11661,STOCKHOLM,STOCKHOLM,STO,Sweden
11662,STOCKHOLM,STOCKHOLM,STO,Sweden
11663,STOCKHOLM,STOCKHOLM,STO,Sweden
11664,STOCKHOLM,STOCKHOLM,STO,Sweden
11665,STOCKHOLM,STOCKHOLM,STO,Sweden
11666,STOCKHOLM,STOCKHOLM,STO,Sweden
11667,STOCKHOLM,STOCKHOLM,STO,Sweden
11668,STOCKHOLM,STOCKHOLM,STO,Sweden
11726,STOCKHOLM,STOCKHOLM,STO,Sweden
11727,STOCKHOLM,STOCKHOLM,STO,Sweden
11728,STOCKHOLM,STOCKHOLM,STO,Sweden
11729,STOCKHOLM,STOCKHOLM,STO,Sweden
11730,STOCKHOLM,STOCKHOLM,STO,Sweden
11731,STOCKHOLM,STOCKHOLM,STO,Sweden
11732,STOCKHOLM,STOCKHOLM,STO,Sweden
11733,STOCKHOLM,STOCKHOLM,STO,Sweden
11734,STOCKHOLM,STOCKHOLM,STO,Sweden
11735,STOCKHOLM,STOCKHOLM,STO,Sweden
11736,STOCKHOLM,STOCKHOLM,STO,Sweden
11737,STOCKHOLM,STOCKHOLM,STO,Sweden
11738,STOCKHOLM,STOCKHOLM,STO,Sweden
11739,STOCKHOLM,STOCKHOLM,STO,Sweden
11740,STOCKHOLM,STOCKHOLM,STO,Sweden
11741,STOCKHOLM,STOCKHOLM,STO,Sweden
11743,STOCKHOLM,STOCKHOLM,STO,Sweden
11750,STOCKHOLM,STOCKHOLM,STO,Sweden
11754,STOCKHOLM,STOCKHOLM,STO,Sweden
11755,STOCKHOLM,STOCKHOLM,STO,Sweden
11756,STOCKHOLM,STOCKHOLM,STO,Sweden
11757,STOCKHOLM,STOCKHOLM,STO,Sweden
11758,STOCKHOLM,STOCKHOLM,STO,Sweden
11759,STOCKHOLM,STOCKHOLM,STO,Sweden
11760,STOCKHOLM,STOCKHOLM,STO,Sweden
11761,STOCKHOLM,STOCKHOLM,STO,Sweden
11762,STOCKHOLM,STOCKHOLM,STO,Sweden
11763,STOCKHOLM,STOCKHOLM,STO,Sweden
11764,STOCKHOLM,STOCKHOLM,STO,Sweden
11765,STOCKHOLM,STOCKHOLM,STO,Sweden
11766,STOCKHOLM,STOCKHOLM,STO,Sweden
11767,STOCKHOLM,STOCKHOLM,STO,Sweden
11768,STOCKHOLM,STOCKHOLM,STO,Sweden
11769,STOCKHOLM,STOCKHOLM,STO,Sweden
11771,STOCKHOLM,STOCKHOLM,STO,Sweden
11775,STOCKHOLM,STOCKHOLM,STO,Sweden
11820,STOCKHOLM,STOCKHOLM,STO,Sweden
11821,STOCKHOLM,STOCKHOLM,STO,Sweden
11822,STOCKHOLM,STOCKHOLM,STO,Sweden
11823,STOCKHOLM,STOCKHOLM,STO,Sweden
11824,STOCKHOLM,STOCKHOLM,STO,Sweden
11825,STOCKHOLM,STOCKHOLM,STO,Sweden
11826,STOCKHOLM,STOCKHOLM,STO,Sweden
11827,STOCKHOLM,STOCKHOLM,STO,Sweden
11828,STOCKHOLM,STOCKHOLM,STO,Sweden
11829,STOCKHOLM,STOCKHOLM,STO,Sweden
11830,STOCKHOLM,STOCKHOLM,STO,Sweden
11842,STOCKHOLM,STOCKHOLM,STO,Sweden
11846,STOCKHOLM,STOCKHOLM,STO,Sweden
11847,STOCKHOLM,STOCKHOLM,STO,Sweden
11848,STOCKHOLM,STOCKHOLM,STO,Sweden
11849,STOCKHOLM,STOCKHOLM,STO,Sweden
11850,STOCKHOLM,STOCKHOLM,STO,Sweden
11851,STOCKHOLM,STOCKHOLM,STO,Sweden
11852,STOCKHOLM,STOCKHOLM,STO,Sweden
11853,STOCKHOLM,STOCKHOLM,STO,Sweden
11854,STOCKHOLM,STOCKHOLM,STO,Sweden
11855,STOCKHOLM,STOCKHOLM,STO,Sweden
11856,STOCKHOLM,STOCKHOLM,STO,Sweden
11857,STOCKHOLM,STOCKHOLM,STO,Sweden
11858,STOCKHOLM,STOCKHOLM,STO,Sweden
11859,STOCKHOLM,STOCKHOLM,STO,Sweden
11860,STOCKHOLM,STOCKHOLM,STO,Sweden
11861,STOCKHOLM,STOCKHOLM,STO,Sweden
11862,STOCKHOLM,STOCKHOLM,STO,Sweden
11863,STOCKHOLM,STOCKHOLM,STO,Sweden
11864,STOCKHOLM,STOCKHOLM,STO,Sweden
11865,STOCKHOLM,STOCKHOLM,STO,Sweden
11866,STOCKHOLM,STOCKHOLM,STO,Sweden
11867,STOCKHOLM,STOCKHOLM,STO,Sweden
11869,STOCKHOLM,STOCKHOLM,STO,Sweden
11872,STOCKHOLM,STOCKHOLM,STO,Sweden
12030,STOCKHOLM,STOCKHOLM,STO,Sweden
12031,STOCKHOLM,STOCKHOLM,STO,Sweden
12032,STOCKHOLM,STOCKHOLM,STO,Sweden
12038,ÅRSTA,STOCKHOLM,STO,Sweden
12039,ÅRSTA,STOCKHOLM,STO,Sweden
12040,ÅRSTA,STOCKHOLM,STO,Sweden
12044,ÅRSTA,STOCKHOLM,STO,Sweden
12047,ENSKEDE GÅRD,STOCKHOLM,STO,Sweden
12048,ENSKEDE GÅRD,STOCKHOLM,STO,Sweden
12050,ÅRSTA,STOCKHOLM,STO,Sweden
12051,ÅRSTA,STOCKHOLM,STO,Sweden
12052,ÅRSTA,STOCKHOLM,STO,Sweden
12053,ÅRSTA,STOCKHOLM,STO,Sweden
12054,ÅRSTA,STOCKHOLM,STO,Sweden
12055,ÅRSTA,STOCKHOLM,STO,Sweden
12056,ÅRSTA,STOCKHOLM,STO,Sweden
12057,ÅRSTA,STOCKHOLM,STO,Sweden
12058,ÅRSTA,STOCKHOLM,STO,Sweden
12059,ÅRSTA,STOCKHOLM,STO,Sweden
12060,ÅRSTA,STOCKHOLM,STO,Sweden
12061,STOCKHOLM,STOCKHOLM,STO,Sweden
12062,STOCKHOLM,STOCKHOLM,STO,Sweden
12063,STOCKHOLM,STOCKHOLM,STO,Sweden
12064,STOCKHOLM,STOCKHOLM,STO,Sweden
12065,STOCKHOLM,STOCKHOLM,STO,Sweden
12066,STOCKHOLM,STOCKHOLM,STO,Sweden
12067,STOCKHOLM,STOCKHOLM,STO,Sweden
12068,STOCKHOLM,STOCKHOLM,STO,Sweden
12069,STOCKHOLM,STOCKHOLM,STO,Sweden
12070,STOCKHOLM,STOCKHOLM,STO,Sweden
12071,STOCKHOLM,STOCKHOLM,STO,Sweden
12078,STOCKHOLM,STOCKHOLM,STO,Sweden
12079,STOCKHOLM,STOCKHOLM,STO,Sweden
12130,ENSKEDEDALEN,Södertälje,SOE,Sweden
12131,ENSKEDEDALEN,Södertälje,SOE,Sweden
12132,ENSKEDEDALEN,Södertälje,SOE,Sweden
12133,ENSKEDEDALEN,Södertälje,SOE,Sweden
12134,ENSKEDEDALEN,Södertälje,SOE,Sweden
12135,JOHANNESHOV,Södertälje,SOE,Sweden
12136,JOHANNESHOV,Södertälje,SOE,Sweden
12137,JOHANNESHOV,Södertälje,SOE,Sweden
12138,JOHANNESHOV,Södertälje,SOE,Sweden
12139,JOHANNESHOV,Södertälje,SOE,Sweden
12140,JOHANNESHOV,Södertälje,SOE,Sweden
12143,JOHANNESHOV,Södertälje,SOE,Sweden
12144,JOHANNESHOV,Södertälje,SOE,Sweden
12145,JOHANNESHOV,Södertälje,SOE,Sweden
12146,JOHANNESHOV,Södertälje,SOE,Sweden
12147,JOHANNESHOV,Södertälje,SOE,Sweden
12148,JOHANNESHOV,Södertälje,SOE,Sweden
12149,JOHANNESHOV,Södertälje,SOE,Sweden
12150,JOHANNESHOV,Södertälje,SOE,Sweden
12151,JOHANNESHOV,Södertälje,SOE,Sweden
12152,JOHANNESHOV,Södertälje,SOE,Sweden
12153,JOHANNESHOV,Södertälje,SOE,Sweden
12154,JOHANNESHOV,Södertälje,SOE,Sweden
12155,JOHANNESHOV,Södertälje,SOE,Sweden
12156,JOHANNESHOV,Södertälje,SOE,Sweden
12162,JOHANNESHOV,Södertälje,SOE,Sweden
12163,JOHANNESHOV,Södertälje,SOE,Sweden
12177,JOHANNESHOV,Södertälje,SOE,Sweden
12231,ENSKEDE,Södertälje,SOE,Sweden
12232,ENSKEDE,Södertälje,SOE,Sweden
12233,ENSKEDE,Södertälje,SOE,Sweden
12234,ENSKEDE,Södertälje,SOE,Sweden
12237,ENSKEDE,Södertälje,SOE,Sweden
12238,ENSKEDE,Södertälje,SOE,Sweden
12239,ENSKEDE,Södertälje,SOE,Sweden
12240,ENSKEDE,Södertälje,SOE,Sweden
12241,ENSKEDE,Södertälje,SOE,Sweden
12242,ENSKEDE,Södertälje,SOE,Sweden
12243,ENSKEDE,Södertälje,SOE,Sweden
12244,ENSKEDE,Södertälje,SOE,Sweden
12245,ENSKEDE,Södertälje,SOE,Sweden
12246,ENSKEDE,Södertälje,SOE,Sweden
12247,ENSKEDE,Södertälje,SOE,Sweden
12248,ENSKEDE,Södertälje,SOE,Sweden
12249,ENSKEDE,Södertälje,SOE,Sweden
12260,ENSKEDE,Södertälje,SOE,Sweden
12262,ENSKEDE,Södertälje,SOE,Sweden
12263,ENSKEDE,Södertälje,SOE,Sweden
12264,ENSKEDE,Södertälje,SOE,Sweden
12265,ENSKEDE,Södertälje,SOE,Sweden
12266,ENSKEDE,Södertälje,SOE,Sweden
12331,FARSTA,Södertälje,SOE,Sweden
12332,FARSTA,Södertälje,SOE,Sweden
12333,FARSTA,Södertälje,SOE,Sweden
12334,FARSTA,Södertälje,SOE,Sweden
12341,FARSTA,Södertälje,SOE,Sweden
12342,FARSTA,Södertälje,SOE,Sweden
12343,FARSTA,Södertälje,SOE,Sweden
12344,FARSTA,Södertälje,SOE,Sweden
12346,FARSTA,Södertälje,SOE,Sweden
12347,FARSTA,Södertälje,SOE,Sweden
12348,FARSTA,Södertälje,SOE,Sweden
12349,FARSTA,Södertälje,SOE,Sweden
12350,FARSTA,Södertälje,SOE,Sweden
12352,FARSTA,Södertälje,SOE,Sweden
12353,FARSTA,Södertälje,SOE,Sweden
12354,FARSTA,Södertälje,SOE,Sweden
12355,FARSTA,Södertälje,SOE,Sweden
12356,FARSTA,Södertälje,SOE,Sweden
12357,FARSTA,Södertälje,SOE,Sweden
12358,FARSTA,Södertälje,SOE,Sweden
12359,FARSTA,Södertälje,SOE,Sweden
12360,FARSTA,Södertälje,SOE,Sweden
12361,FARSTA,Södertälje,SOE,Sweden
12363,FARSTA,Södertälje,SOE,Sweden
12371,FARSTA,Södertälje,SOE,Sweden
12372,FARSTA,Södertälje,SOE,Sweden
12373,FARSTA,Södertälje,SOE,Sweden
12430,BANDHAGEN,Södertälje,SOE,Sweden
12431,BANDHAGEN,Södertälje,SOE,Sweden
12432,BANDHAGEN,Södertälje,SOE,Sweden
12433,BANDHAGEN,Södertälje,SOE,Sweden
12450,BANDHAGEN,Södertälje,SOE,Sweden
12451,BANDHAGEN,Södertälje,SOE,Sweden
12452,BANDHAGEN,Södertälje,SOE,Sweden
12453,BANDHAGEN,Södertälje,SOE,Sweden
12454,BANDHAGEN,Södertälje,SOE,Sweden
12455,BANDHAGEN,Södertälje,SOE,Sweden
12456,BANDHAGEN,Södertälje,SOE,Sweden
12457,BANDHAGEN,Södertälje,SOE,Sweden
12458,BANDHAGEN,Södertälje,SOE,Sweden
12459,BANDHAGEN,Södertälje,SOE,Sweden
12460,BANDHAGEN,Södertälje,SOE,Sweden
12461,BANDHAGEN,Södertälje,SOE,Sweden
12462,BANDHAGEN,Södertälje,SOE,Sweden
12463,BANDHAGEN,Södertälje,SOE,Sweden
12464,BANDHAGEN,Södertälje,SOE,Sweden
12465,BANDHAGEN,Södertälje,SOE,Sweden
12466,BANDHAGEN,Södertälje,SOE,Sweden
12467,BANDHAGEN,Södertälje,SOE,Sweden
12470,BANDHAGEN,Södertälje,SOE,Sweden
12471,BANDHAGEN,Södertälje,SOE,Sweden
12472,BANDHAGEN,Södertälje,SOE,Sweden
12473,BANDHAGEN,Södertälje,SOE,Sweden
12474,BANDHAGEN,Södertälje,SOE,Sweden
12475,BANDHAGEN,Södertälje,SOE,Sweden
12476,BANDHAGEN,Södertälje,SOE,Sweden
12530,ÄLVSJÖ,Södertälje,SOE,Sweden
12531,ÄLVSJÖ,Södertälje,SOE,Sweden
12532,ÄLVSJÖ,Södertälje,SOE,Sweden
12533,ÄLVSJÖ,Södertälje,SOE,Sweden
12534,ÄLVSJÖ,Södertälje,SOE,Sweden
12535,ÄLVSJÖ,Södertälje,SOE,Sweden
12540,ÄLVSJÖ,Södertälje,SOE,Sweden
12541,ÄLVSJÖ,Södertälje,SOE,Sweden
12542,ÄLVSJÖ,Södertälje,SOE,Sweden
12543,ÄLVSJÖ,Södertälje,SOE,Sweden
12544,ÄLVSJÖ,Södertälje,SOE,Sweden
12545,ÄLVSJÖ,Södertälje,SOE,Sweden
12546,ÄLVSJÖ,Södertälje,SOE,Sweden
12547,ÄLVSJÖ,Södertälje,SOE,Sweden
12548,ÄLVSJÖ,Södertälje,SOE,Sweden
12551,ÄLVSJÖ,Södertälje,SOE,Sweden
12552,ÄLVSJÖ,Södertälje,SOE,Sweden
12553,ÄLVSJÖ,Södertälje,SOE,Sweden
12554,ÄLVSJÖ,Södertälje,SOE,Sweden
12555,ÄLVSJÖ,Södertälje,SOE,Sweden
12556,ÄLVSJÖ,Södertälje,SOE,Sweden
12557,ÄLVSJÖ,Södertälje,SOE,Sweden
